,phrases,labels
0,Nuclear theory,Task
1,thermalization,Task
2,thermalization,Process
3,semi-classical methods,Process
4,nuclear reactions,Process
5,quantum liquids,Material
6,improved molecular dynamics methods,Process
7,combining quantum features,Task
8,field of clusters and nano structures,Task
9,lasers,Process
10,imaging techniques,Process
11,qualitatively describe dynamical processes.,Process
12,simple metals,Material
13,simple metals with sufficiently delocalized wave functions,Material
14,organic systems,Task
15,C60,Material
16,very intense laser pulses,Process
17,quantum mechanical features,Task
18,quantum shell effects,Process
19,semi classical treatment of dynamical correlations,Process
20,quantum approach,Process
21,Dirac equation,Process
22,Pauli equation,Process
23,continuum space-time,Material
24,massless spin-1/2 particles,Material
25,objects hopping on a lattice instead of particles,Process
26,The Creutz model,Process
27,measurement scenario,Task
28,motion of the particle,Task
29,future research,Task
30,particles moving in a space-time continuum,Task
31,objects,Material
32,lattice,Material
33,lattice model,Process
34,fluctuating vacuum,Material
35,quantum fields,Process
36,quantum fields,Task
37,free Maxwell field,Process
38,Fermionic fields,Process
39,undergo vacuum fluctuations,Process
40,Casimir effects,Process
41,nuclear physics,Task
42,“MIT bag model” of the nucleon,Task
43,a collection of fermionic fields describing confined quarks,Task
44,the bag boundary condition modifies the vacuum fluctuations of the field,Process
45,nuclear physics,Task
46,bag-model nucleon,Material
47,nucleon,Material
48,Casimir force,Task
49,such fields,Process
50,spectrally resolved femtosecond three-pulse photon echo measurements,Process
51,spectrally resolved femtosecond three-pulse photon echo measurements,Material
52,Zn(II)–OEP,Material
53,Ni(II)–OEP,Material
54,Co(II)–OEP,Material
55,separate and extract specific type of spectroscopic information,Process
56,complex molecules,Material
57,spectral and temporal evolution of the photon echo signals,Process
58,photon echo signals,Task
59,population times,Material
60,population relaxation dynamics,Task
61,varying the population times,Process
62,inhomogeneous broadening,Process
63,photon echo spectra,Material
64,Time-integrated photon echo signals,Process
65,Time-integrated photon echo signals,Material
66,timescales,Material
67,Ni(II)–OEP,Material
68,Co(II)–OEP,Material
69,within a picosecond for Zn(II)–OEP,Material
70,electronic relaxation timescale,Material
71,sub 50fs,Material
72,timescale,Material
73,intramolecular vibrational relaxation,Process
74,Increased degree of freedom,Task
75,Q00 band,Material
76,Water,Material
77,water,Material
78,distorted hydrogen bonds,Material
79,inner-shell spectroscopic techniques,Process
80,X-ray absorption spectroscopy,Process
81,X-ray emission spectroscopy,Process
82,water,Material
83,XAS,Process
84,XES,Process
85,hydrogen bonding network,Task
86,accurate molecular dynamics simulations,Process
87,molecular structure,Task
88,spectral properties,Task
89,excitation energies,Task
90,line intensities,Task
91,adequate sampling,Material
92,molecular configurations,Process
93,experimental data,Material
94,calculations,Material
95,observed spectral features,Process
96,underlying structure,Task
97,direct structural probe of water,Process
98,oxygen K-edge,Material
99,liquid,Material
100,XAS,Process
101,XES,Process
102,water,Material
103,liquid water,Material
104,observed dynamics,Process
105,probe laser,Process
106,further ionization,Process
107,reactions,Task
108,two-step decay model,Process
109,fragmentation of DCPD to CPD,Process
110,rise and decay components,Material
111,Matlab® programming,Process
112,curve fitting Levenberg–Marquardt algorithm,Process
113,best fit decay constants,Process
114,biexponential decay components,Material
115,C10H12+ ion signal,Material
116,τ1=35fs,Process
117,τ2=240fs,Process
118,C5H6+ ion signal,Material
119,τ1=36fs,Process
120,photochemical reaction of DCPD,Process
121,controlling the product yield of C5H6+,Process
122,Applying laser control principles,Process
123,laser control principles,Task
124,parent ion fragmentation,Process
125,distinct dynamics of the neutrals,Task
126,parent ion fragmentation,Task
127,norbornene,Material
128,norbornadiene,Material
129,decay constants,Task
130,parent ion,Material
131,DCPD,Material
132,CPD,Material
133,τ2=280fs,Process
134,transients,Material
135,C10H12+,Material
136,DCPD,Material
137,C5H6+,Material
138,carbon atoms,Material
139,graphene,Material
140,aberration-corrected transmission electron microscopy,Process
141,sub-Ångstrom resolution,Process
142,AC-TEM observations of the formation and annealing of Stone–Wales defects,Process
143,edge reconstruction,Process
144,formation of a large hole in graphene sheet from a single vacancy defect,Process
145,graphene sheet,Material
146,graphene,Material
147,graphene nanoribbons,Task
148,molecular precursors,Material
149,formation of nanometre size hollow protrusion on the nanotube sidewall,Process
150,nanotube sidewall,Material
151,AC-TEM observations,Process
152,small finite graphene flake,Material
153,fullerene,Material
154,process of self-assembly of graphene nanoribbons,Process
155,proposed ‘top-down’ mechanism of the fullerene formation,Task
156,creation of vacancies in small graphene flake,Process
157,knock-on damage by electrons of the imaging electron beam (e-beam),Process
158,subsequent formation of pentagons,Task
159,‘top-down’ mechanism for the formation of fullerene,Task
160,formation of fullerene,Process
161,e-beam assisted self-assembly,Task
162,structural transformations in graphene-like structures,Task
163,graphene-like structures,Material
164,AC-TEM,Process
165,verify their validity for dynamical purposes,Process
166,verify their validity for dynamical purposes,Task
167,studies of the nitrogen exchange reaction,Task
168,trajectory surface hoping,Process
169,rate coefficients,Material
170,vibrational transition,Process
171,rotational energy,Task
172,use of quasiclassical trajectories,Process
173,electronic transitions to the quartet state,Process
174,independently integrated for each symmetry,Process
175,TSH,Process
176,trajectory surface hoping (TSH) method,Process
177,atoms,Material
178,inorganic laser diodes,Material
179,organic semiconductor photophysics,Task
180,electric charge,Material
181,organic materials,Material
182,charged polaron,Material
183,operation of organic optoelectronic devices,Task
184,development of electrically pumped lasers,Task
185,electrically pumped lasers,Material
186,lasing threshold of organic structures under optical pumping,Task
187,optical pumping,Process
188,organic structures,Material
189,unipolar devices,Material
190,contacting electrodes,Material
191,electrically pumped lasing,Process
192,very sensitive low-cost devices,Material
193,biosensing,Process
194,chemosensing,Process
195,accept energy from excitons,Process
196,resonant dipole–dipole interactions,Task
197,organic LEDs,Material
198,lasers,Material
199,light absorption,Process
200,charge density,Process
201,field-dependent charge mobility measurements,Material
202,capacitance–voltage analysis,Process
203,controlled electrical injection of charges,Process
204,ion–molecule reactions,Process
205,Chesnavich model Hamiltonian,Process
206,identification,Process
207,TST,Material
208,trajectory simulations,Material
209,periodic orbit dividing surfaces,Material
210,dynamics which clearly reveal the origins of the roaming effect,Task
211,well defined phase space dividing surfaces attached to NHIMs,Material
212,associated potential function,Process
213,Chesnavich model Hamiltonian,Process
214,PODS,Material
215,OTS,Material
216,OTS,Material
217,TTS,Material
218,space geometrical objects,Material
219,NHIMs,Material
220,range of temperatures chosen,Material
221,alanine dipeptide,Material
222,physically relevant minima,Process
223,larger potential energy spacing,Material
224,cross-overs in the approximate global free energy,Process
225,balance between potential energy and well entropy,Task
226,force field and solvent model,Process
227,bent conformation,Process
228,defined rotation of the octyl chains,Process
229,twist of the first CC single bond,Process
230,dense packing,Process
231,structure solution,Process
232,linearly extended chains,Material
233,combined MD and VASP calculations,Process
234,rotated side chains,Material
235,DOTT molecule,Material
236,octyl side chains,Material
237,octyl chain,Material
238,octyl chains,Material
239,thin film,Material
240,octyl side chains,Material
241,crystal structure,Material
242,DOTT molecule,Material
243,terthiophene unit,Material
244,octyl chains,Material
245,octyl side chains,Material
246,central terthiophene units,Material
247,terthiophene unit,Material
248,development of radiation-induced DSBs,Process
249,radiation-induced DSBs,Material
250,γ-ray radiation,Process
251,photon of γ-ray,Material
252,photo-radiation,Process
253,DSBs,Process
254,single step,Process
255,generation of number of ROS,Process
256,ROS,Material
257,DSBs,Process
258,two step mechanism,Process
259,photon,Material
260,ROS,Material
261,single strand break,Process
262,strand,Material
263,single strand break,Process
264,strand,Material
265,single strand break,Process
266,DBS,Process
267,two step mechanism,Process
268,AA,Material
269,photo-induced damage,Process
270,photo,Material
271,ROS,Material
272,AA,Material
273,γ-ray induced DSB,Material
274,AA,Material
275,photo irradiation,Process
276,photo,Material
277,ROS,Material
278,single photon of γ-ray,Material
279,AA,Material
280,DSBs,Material
281,DSBs,Material
282,ultrasound,Process
283,shockwave,Process
284,cavitations,Material
285,AA,Material
286,ROS,Material
287,diminish ROS,Process
288,DSBs,Material
289,In situ oxidation,Process
290,3mm diameter discs,Material
291,ground and polished,Process
292,oxidised,Process
293,heated,Process
294,stabilise the stage and the microscope,Process
295,heated to a final temperature of 900°C,Process
296,LEO 1530VP FEGSEM,Material
297,Transmission Electron Microscope,Material
298,Scanning TEM (STEM) detector,Material
299,Jeol 2000FX W-filament TEM,Material
300,accelerating voltage of 30kV,Process
301,TEM samples,Material
302,EDS,Material
303,EDAX Genesis EDS system,Material
304,Scanning TEM,Material
305,STEM,Material
306,TEM,Material
307,hot stage attachment,Material
308,Philips XL-30 FEG ESEM,Material
309,heating coils,Material
310,EDS,Material
311,dual beam FEI Nova Nanolab 600,Material
312,Focused Ion Beam,Material
313,FIB,Material
314,oxide development,Process
315,oxide,Material
316,Nanolab 600,Material
317,transient response analysis,Task
318,steel–concrete interface,Task
319,long-term sustained benefits,Process
320,interruption of the protective current,Process
321,protective current was interrupted,Process
322,assess the long-term benefits,Process
323,develops and examines a simplified approach,Task
324,assessment of the corrosion condition,Task
325,discusses the potential advantages,Process
326,motorway bridge structures,Material
327,Impressed Current Cathodic Protection,Process
328,ICCP,Process
329,ICCP system,Process
330,ICCP,Process
331,transient response analysis,Process
332,steel,Material
333,reinforced concrete structures,Material
334,oxidation test,Process
335,test matrix,Material
336,horizontal tube furnaces,Material
337,adjusted to accommodate buoyancy effects,Process
338,weight change during these tests was monitored continually,Material
339,alumina boats,Material
340,furnaces,Material
341,determine the oxidation kinetics,Task
342,Table 1 shows the time intervals chosen for examination,Material
343,TGA,Process
344,thermogravimetric balance,Process
345,adhesion/cohesion,Process
346,scratch test method,Process
347,adhesion/cohesion of the coating,Task
348,"Revetest system (CSM Instruments SA, Switzerland) equipped with a H-270 diamond indentor (200μm diameter)",Material
349,scratch indentations were carried out,Process
350,determination of location of spallation/delamination,Task
351,understand the nature of the coating failure,Task
352,loading force and penetration depth were recorded,Material
353,loading force and penetration depth were recorded and their respective values were correlated with the observed failure locations,Process
354,surface roughness tester,Material
355,surface roughness of the coating was evaluated,Task
356,eight measurements,Material
357,coating,Process
358,outer layer,Material
359,Ra,Process
360,roughness,Process
361,damp abrasive disc,Material
362,surface,Material
363,metal surface,Material
364,diamond polishes,Material
